Scenario    , Model              , Avg Accuracy       , Avg Precision      , Avg Recall         , Avg F1             , StD F1                , F1 Score Display
No Weights  , Nearest Neighbors  , 0.6298701298701299 , 0.4708333333333334 , 0.4044336747688586 , 0.41539619150477003, 5.551115123125783e-17 , 0.4154 ± 0.0000
No Weights  , Linear SVM         , 0.6688311688311688 , 0.22294372294372292, 0.3333333333333333 , 0.26718547341115434, 0.0                   , 0.2672 ± 0.0000
No Weights  , RBF SVM            , 0.6688311688311688 , 0.22294372294372292, 0.3333333333333333 , 0.26718547341115434, 0.0                   , 0.2672 ± 0.0000
No Weights  , Decision Tree      , 0.6746753246753248 , 0.5322070555403889 , 0.3697990749003033 , 0.33862445336883484, 0.00042886897260070446, 0.3386 ± 0.0004
No Weights  , Random Forest      , 0.6688311688311688 , 0.22294372294372292, 0.3333333333333333 , 0.26718547341115434, 0.0                   , 0.2672 ± 0.0000
No Weights  , Neural Net         , 0.6629870129870129 , 0.6963059726010282 , 0.3667069193681395 , 0.3496483678527673 , 0.011062842712170437  , 0.3496 ± 0.0111
No Weights  , AdaBoost           , 0.6525974025974026 , 0.6392655367231638 , 0.3459212080085065 , 0.31189818165866073, 0.0                   , 0.3119 ± 0.0000
No Weights  , Naive Bayes        , 0.6688311688311688 , 0.22294372294372292, 0.3333333333333333 , 0.26718547341115434, 0.0                   , 0.2672 ± 0.0000
No Weights  , Logistic Regression, 0.672077922077922  , 0.7117715617715619 , 0.3841122943505511 , 0.3795220497659522 , 0.0                   , 0.3795 ± 0.0000
With Weights, Nearest Neighbors  , 0.6298701298701299 , 0.4708333333333334 , 0.4044336747688586 , 0.41539619150477003, 5.551115123125783e-17 , 0.4154 ± 0.0000
With Weights, Linear SVM         , 0.5811688311688312 , 0.29525989508822126, 0.45701421134093145, 0.3405234531170099 , 0.0                   , 0.3405 ± 0.0000
With Weights, RBF SVM            , 0.577922077922078  , 0.6619827871565707 , 0.36853396455268744, 0.3682239821078297 , 0.0                   , 0.3682 ± 0.0000
With Weights, Decision Tree      , 0.5844155844155844 , 0.3504601459146914 , 0.38918840935928745, 0.3367037890424987 , 0.0                   , 0.3367 ± 0.0000
With Weights, Random Forest      , 0.22337662337662337, 0.3463563363650082 , 0.38187862563740865, 0.19435335411610719, 0.043187684308643184  , 0.1944 ± 0.0432
With Weights, Neural Net         , 0.6655844155844155 , 0.6917901322011563 , 0.36383935966144987, 0.3431208404518008 , 0.007789911789659909  , 0.3431 ± 0.0078
With Weights, AdaBoost           , 0.6525974025974026 , 0.6392655367231638 , 0.3459212080085065 , 0.31189818165866073, 0.0                   , 0.3119 ± 0.0000
With Weights, Naive Bayes        , 0.6363636363636364 , 0.4434776250365604 , 0.40233554723191445, 0.4007685724103635 , 0.0                   , 0.4008 ± 0.0000
With Weights, Logistic Regression, 0.49675324675324684, 0.3919047619047619 , 0.40012610138337495, 0.3919331055485072 , 0.0                   , 0.3919 ± 0.0000
