Scenario    , Model              , Avg Accuracy (Any Match), Avg Precision (Relaxed), Avg Recall (Relaxed), Avg F1 (Relaxed)    , StD F1                , F1 Score Display
No Weights  , Nearest Neighbors  ,      0.3116883116883117 ,    0.22797782254303994 ,  0.15215272834119864, 0.1665127008481439  , 0.0                   , 0.1665 ± 0.0000
No Weights  , Linear SVM         ,      0.37337662337662336,    0.04148629148629149 ,  0.11111111111111112, 0.060415024954032046, 0.0                   , 0.0604 ± 0.0000
No Weights  , RBF SVM            ,      0.37012987012987014,    0.081556303778526   ,  0.1141672646097425 , 0.07007811254583134 , 0.0                   , 0.0701 ± 0.0000
No Weights  , Decision Tree      ,      0.38311688311688313,    0.12074438970990695 ,  0.11865003875149722, 0.08231544803964932 , 0.0                   , 0.0823 ± 0.0000
No Weights  , Random Forest      ,      0.37142857142857144,    0.05615503544216098 ,  0.1106869329562861 , 0.061162558876605065, 0.0024849436437356753 , 0.0612 ± 0.0025
No Weights  , Neural Net         ,      0.37467532467532466,    0.12947481828638477 ,  0.11914971921818684, 0.09059752509490733 , 0.006565604981361053  , 0.0906 ± 0.0066
No Weights  , AdaBoost           ,      0.36363636363636365,    0.18825755144708212 ,  0.11907516202154408, 0.08938082584710709 , 1.577620602075669e-05 , 0.0894 ± 0.0000
No Weights  , Naive Bayes        ,      0.37337662337662336,    0.04148629148629149 ,  0.11111111111111112, 0.060415024954032046, 0.0                   , 0.0604 ± 0.0000
No Weights  , Logistic Regression,      0.36363636363636365,    0.23649764565324335 ,  0.1305492629022041 , 0.1202959813647396  , 1.3877787807814457e-17, 0.1203 ± 0.0000
With Weights, Nearest Neighbors  ,      0.3116883116883117 ,    0.22797782254303994 ,  0.15215272834119864, 0.1665127008481439  , 0.0                   , 0.1665 ± 0.0000
With Weights, Linear SVM         ,      0.1590909090909091 ,    0.026332881160850086,  0.12402738873327109, 0.043356203730801325, 0.0                   , 0.0434 ± 0.0000
With Weights, RBF SVM            ,      0.36363636363636365,    0.15779662166354283 ,  0.1367378838963021 , 0.12288048070503735 , 1.3877787807814457e-17, 0.1229 ± 0.0000
With Weights, Decision Tree      ,      0.36363636363636365,    0.12786580276698853 ,  0.23283177577815786, 0.12347336746284847 , 0.0                   , 0.1235 ± 0.0000
With Weights, Random Forest      ,      0.30454545454545456,    0.1740562605055398  ,  0.14060101055397375, 0.0903666094835561  , 0.009993282074423434  , 0.0904 ± 0.0100
With Weights, Neural Net         ,      0.3779220779220779 ,    0.13706569156243764 ,  0.12015848702757506, 0.09026263075623168 , 0.006659687601671868  , 0.0903 ± 0.0067
With Weights, AdaBoost           ,      0.362987012987013  ,    0.1883863454034934  ,  0.11908599329604012, 0.08952026541535123 , 0.0002832353946824388 , 0.0895 ± 0.0003
With Weights, Naive Bayes        ,      0.2824675324675325 ,    0.18062265163714442 ,  0.16456125320694406, 0.14250307721967642 , 0.0                   , 0.1425 ± 0.0000
With Weights, Logistic Regression,      0.3246753246753247 ,    0.2617666591248972  ,  0.2380225014371356 , 0.22001496351475053 , 0.0                   , 0.2200 ± 0.0000
